표준ID,ARS-ID,정류장명,위도,경도,비고
100900159,1837,스위스대사관,37.56998879,126.9658058,
100900157,1839,안국선원.삼거리,37.58274325,126.9852205,
100900156,1840,세검정교회,37.59956325,126.9594705,
100900200,1841,혜화동로터리,37.58591961,127.0010032,
100900155,1842,북악휴게실,37.61326379,126.9781123,
100900154,1843,서울시교육청,37.56924297,126.966825,
100900210,1844,창신쌍용1단지.종로센트레빌아파트,37.58032282,127.0155693,
100900153,1845,사우디대사관,37.58386331,126.9852486,
100900152,1846,상명대입구,37.59985447,126.9574023,
100900151,1847,혜화초등학교,37.58738929,126.9999909,
100900150,1848,북악파크,37.61100832,126.9778558,
100900149,1849,강북삼성병원,37.56853152,126.9683377,
100900148,1850,청룡사.보문파크뷰자이아파트,37.57978465,127.0171509,
100900147,1851,감사원,37.58626565,126.9855618,
100900201,1852,국민생활관,37.5896276,126.9993138,
100900146,1853,귀빈예식장,37.60899526,126.9733337,
100900173,1855,종로센트레빌후문.e편한세상보문아파트,37.58189784,127.0162354,
100900172,1856,통일부,37.58753085,126.9861073,
100900171,1858,서울국제고등학교,37.58907429,126.9971408,
100900203,1860,성대후문.와룡공원,37.58915228,126.989734,
100900170,1861,상명초등학교,37.60090493,126.9568174,
100900169,1862,새마을금고,37.58784069,126.996569,
100900002,1863,경진빌라,37.60186409,126.9579482,
100900004,1864,명륜시장.성대후문,37.58872461,126.9952305,
100900006,1865,완성빌라,37.60333997,126.9576665,
100900008,1866,양현관,37.589768,126.9937686,
100900010,1868,상명대후문,37.60407158,126.9574634,
100900012,1869,샘미용실,37.59025457,126.9934084,
100900014,1870,산정빌라,37.60528358,126.9575782,
100900018,1872,문방구,37.60613345,126.9579809,
100900019,1873,마트앞,37.60669871,126.9587565,
100900022,1874,국민은행.세검정지점,37.60488731,126.960786,
100900023,1875,화정박물관,37.6048591,126.9656867,
100900027,1876,혜화역4번출구,37.58346324,127.0014561,
100900028,1877,방송통신대앞,37.57869736,127.0019927,
100900030,1878,서울대치과대학,37.57730607,126.9978749,
100900033,1879,효제초교.연동교회.김마리아활동터,37.57364134,127.0022088,
100900204,1881,성균관대학교,37.58846387,126.9900036,
100900214,1882,독립문역,37.57328385,126.9594078,
100900038,1883,서울대치과대학,37.57760163,126.9977741,
100900043,1886,이화사거리,37.57694834,127.0020085,
100900042,1887,서울대학교병원현관.암병원현관,37.57895147,126.9981568,
100900211,1888,종각.공평유적전시관,37.57159379,126.9832427,
100900213,1889,조계사,37.57386542,126.9831199,
100000375,1893,인사동.아벤트리호텔,37.57303192,126.9831563,
100000374,1894,세종문화회관,37.57223062,126.9765654,
100000399,1901,JW메리어트동대문호텔,37.57030187,127.0094731,
100000407,1902,대학로,37.58189612,127.0021204,
100000408,1903,창경궁,37.57915963,126.9964163,
100000409,1904,창덕궁,37.57753017,126.9901776,
100000410,1905,인사동.북촌,37.57589502,126.9837978,
100000411,1906,경복궁.국립민속박물관,37.58020428,126.9797957,
100000412,1907,세종문화회관,37.5711272,126.9764644,
100000401,1910,통인시장,37.57911876,126.9713316,
100000402,1911,세종문화회관,37.57210269,126.9764099,
101000313,1912,종각역,37.56937996,126.9828944,
100000403,1913,인사동.탑골공원,37.57011554,126.9888006,
100000404,1914,종묘.세운상가,37.57037393,126.994195,
100000405,1915,광장시장,37.57062373,126.9996734,
100000406,1916,동묘.숭인동도깨비시장,37.5734766,127.0180439,
105000553,1917,서울풍물시장,37.57334003,127.0231781,
100000400,1918,청와대,37.58268481,126.97376,
101000001,2001,남대문세무서.서울백병원,37.56498481,126.9875299,
101000002,2002,서울백병원.국가인권위.안중근활동터,37.56435047,126.9878515,
101000003,2003,서울역버스환승센터,37.55502515,126.9723558,
101000004,2004,서울역버스환승센터,37.55547483,126.9725028,
101000005,2005,서울역버스환승센터,37.5553877,126.9727617,
101000006,2006,서울역버스환승센터,37.55547941,126.9728548,
101000007,2007,서울역버스환승센터.강우규의거터,37.55548398,126.9731162,
101000008,2008,숭례문,37.55863886,126.9737784,
101000303,2100,서울시청,37.56613826,126.9806321,
101000009,2101,만리동고개,37.55178706,126.9626582,
101000010,2102,손기정체육공원입구,37.55444595,126.9662339,
101000011,2103,경기여상입구.서울역서부,37.5565519,126.9679393,
101000012,2104,서울역서부,37.55632559,126.9693762,
101000013,2105,서울역서부,37.55699791,126.9692773,
101000014,2106,중림동교차로,37.55838363,126.9691354,
101000015,2107,종근당.충정로역,37.55951319,126.9644805,
101000016,2108,한국경제신문사,37.56021115,126.967868,
101000017,2109,한국경제신문사,37.56062347,126.9681135,
101000018,2110,경찰청.동북아역사재단,37.56304949,126.9691267,
101000300,2111,써미트호텔,37.56240427,127.006784,
101000020,2113,서대문경찰서.농협은행.유관순활동터,37.56490628,126.9677868,
101000021,2116,염천교,37.55985975,126.9733603,
101000022,2117,숭례문,37.55829684,126.9732933,
101000023,2118,숭례문.한국일보,37.55877131,126.9737376,
101000025,2120,후암삼거리,37.55334181,126.9760824,
101000026,2121,숭례문,37.55873271,126.9744043,
101000027,2122,숭례문,37.558487,126.97402,
101000028,2123,숭례문,37.55796032,126.9736983,
101000029,2124,남대문시장악세사리전문상가,37.55861324,126.9762052,
101000030,2125,숭례문남산방향,37.55855816,126.9756721,
101000031,2126,남대문시장,37.56119108,126.9800598,
101000032,2127,북창동.남대문시장,37.561175,126.97792,
101000033,2128,시청앞,37.56232445,126.9765581,
101000034,2131,삼성본관앞,37.56205175,126.9759075,
101000035,2132,시청앞,37.56276276,126.9761427,
101000036,2133,서소문,37.56320674,126.9748873,
101000037,2134,서소문,37.5636754,126.9753399,
101000038,2135,시청.서소문청사,37.56352484,126.9749539,
101000039,2137,서울신문사,37.56836329,126.9773647,
101000040,2139,우리은행종로지점,37.567519,126.9829289,
101000041,2140,롯데백화점,37.5644918,126.9820649,
101000042,2141,해운센터.롯데영프라자,37.56289078,126.9815478,
101000043,2142,롯데영프라자,37.562885,126.982008,
101000045,2144,신세계앞,37.56084925,126.9815256,
101000046,2145,남대문시장.회현역,37.55826752,126.9777651,
101000047,2146,남대문시장.회현역,37.55849203,126.9784645,
101000048,2147,남산3호터널,37.55845577,126.9826695,
101000049,2148,남산3호터널.서울애니메이션센터,37.55952609,126.9826359,
101000050,2149,명동입구,37.56065389,126.9852408,
101000051,2150,퇴계로2가.명동역,37.56089348,126.9844914,
101000052,2151,퇴계로3가.한옥마을.한국의집,37.5612168,126.9917289,
101000053,2152,퇴계로3가.한옥마을.한국의집,37.56087174,126.992484,
101000054,2153,충무로역2번출구.대한극장앞,37.56122329,126.9949176,
101000055,2154,충무로역8번출구.대한극장앞,37.56191809,126.9965577,
101000056,2155,초동,37.56334618,126.993112,
101000057,2156,을지로입구.로얄호텔,37.56587574,126.9853903,
101000058,2157,을지로입구.시청입구,37.56613826,126.9811712,
101000059,2158,을지로2가.기업은행본점.서울노동청,37.56624623,126.9865234,
101000060,2159,을지로2가.파인에비뉴,37.56600948,126.9888282,
101000061,2160,을지로3가,37.56635564,126.9903756,
101000062,2161,을지로3가,37.56612052,126.9913276,
101000063,2162,을지로4가,37.56664702,126.9962179,
101000064,2163,을지로4가.베스트웨스턴국도,37.56640104,126.9968473,
101000065,2164,중구청앞.덕수중학교,37.5647746,126.9981401,
101000066,2165,을지로5가,37.56681829,126.9992585,
101000067,2166,을지로5가.중부시장,37.56662004,127.001115,
101000068,2167,방산시장.훈련원종합체육관,37.56796085,127.0024045,
101000069,2168,을지로5가.훈련원종합체육관,37.56582435,127.0025946,
101000070,2169,을지로6가.국립중앙의료원,37.56607471,127.0063778,
101000071,2170,광희동,37.56505283,127.0072097,
101000072,2171,광희동,37.56499511,127.0079579,
101000073,2172,을지로6가.국립중앙의료원,37.56646311,127.0058435,
101000074,2173,동대문역사문화공원,37.56735414,127.0083555,
101000075,2174,동대문역사문화공원,37.5676037,127.0090235,
101000077,2177,충무아트센터.스포츠센터.중부소방서,37.56519278,127.0140459,
101000078,2178,충무아트센터.스포츠센터.중부소방서,37.56501789,127.0147409,
101000079,2179,성동공업고등학교(무궁화회관),37.56834819,127.0157558,
101000080,2180,성동공업고등학교앞,37.56869506,127.0161295,
101000081,2181,신당역.중앙시장앞,37.56572828,127.0187427,
101000082,2182,신당역.중앙시장앞,37.56549207,127.0194795,
101000083,2183,성동고등학교,37.56556371,127.0220571,
101000084,2184,성동고등학교,37.56518065,127.0225483,
101000085,2187,신당동떡볶이타운.중구여성플라자,37.56276601,127.0150959,
101000086,2188,신당동떡볶이타운.중구여성플라자,37.56231004,127.0151909,
101000087,2189,신당동.청구역,37.5589483,127.0132161,
101000088,2190,신당동.청구역,37.5592574,127.0130317,
101000089,2191,약수역2번출구.가온도서관,37.55598121,127.0111466,
101000090,2192,약수역3번출구.약수하이츠,37.55574961,127.0113797,
101000091,2193,약수역4번출구.금호터널입구,37.553399,127.012012,
101000092,2194,약수역5번출구.금호터널입구,37.55292373,127.0118693,
101000093,2195,약수역8번출구.신당사회복지관,37.55386465,127.0099567,
101000094,2196,약수역7번출구.약수동주민센터,37.55285097,127.0092978,
101000095,2197,송도병원앞,37.55026765,127.0077187,
101000096,2198,송도병원앞,37.55022712,127.0073984,
101000294,2199,약수역1번출구,37.55640846,127.0096865,
101000097,2201,장충체육관앞,37.55848112,127.0077841,
101000098,2202,장충체육관앞,37.55800173,127.0078282,
