순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호,공사형태,위도,경도
6667,1,16-0000002222,1,1,220,590,220,1,2,2,105,'','','',9033,5,16-002222,5,37.5354161,127.1129393
6978,1,16-0000002732,1,1,220,590,220,1,2,2,105,'','','',7187,2000-0000-000,16-002732,'',37.508153,126.9115973
6979,1,16-0000002728,1,1,220,590,220,3,2,2,105,'','','',7191,5,16-002728,5,37.5088506,126.9133748
7210,1,16-0000005622,1,2,220,590,220,1,2,2,105,'','','',8988,2004-0508-011,16-005622,1,37.6016086,127.0383852
7211,1,16-0000006759,1,1,220,590,220,1,2,2,105,'','','',8989,5,16-006759,5,37.5983854,127.0396557
7212,1,16-0000006761,1,1,220,590,220,1,2,2,105,'','','',8991,5,16-006761,5,37.5983162,127.0384711
7657,1,16-0000002964,1,1,220,590,220,3,2,2,105,'','','',7193,5,16-002964,5,37.5672491,127.0517327
7658,1,16-0000002960,1,1,220,590,220,3,2,2,105,'','','',7195,5,16-002960,5,37.6098093,127.0313271
7659,1,16-0000002961,1,1,220,590,220,3,2,2,105,'','','',7196,5,16-002961,5,37.5059618,126.9168566
7690,1,16-0000007882,1,1,220,590,220,1,2,2,105,'','','',10523,1,16-007882,1,37.5529791,127.0313029
6706,1,16-0000007881,1,1,220,590,220,3,2,2,105,'','','',10022,1,16-007881,1,37.5422179,127.0507441
6707,1,16-0000008397,1,2,220,590,220,1,2,2,105,'','','',10025,2000-0000-000,16-008397,'',37.5429181,127.0497079
7034,1,16-0000006019,1,2,380,590,220,1,2,2,105,'','','',8607,2005-0108-179,16-006019,1,37.5457769,126.8651202
7711,1,16-0000006018,1,2,380,590,220,1,2,2,105,'','','',8606,2005-0108-179,16-006018,1,37.5465663,126.8652454
7647,1,16-0000004628,1,2,380,590,220,1,2,2,105,'','','',6422,2000-0000-000,16-004628,'',37.4977178,126.821846
6728,1,16-0000006852,1,2,220,590,220,1,2,2,105,'','','',7087,1,16-006852,1,37.5626761,127.0211368
7040,1,16-0000011160,1,2,220,590,220,1,2,'',105,3146791,'','',16361,'',16-011160,1,37.5529055,126.8520351
7062,1,16-0000004627,1,2,380,590,220,1,2,2,105,'','','',7806,2000-0000-000,16-004627,'',37.5866893,127.0293492
7732,1,16-0000006874,1,1,220,590,220,1,2,2,105,'','','',8112,4,16-006874,4,37.58249,126.949301
5427,1,16-0000006864,1,1,220,590,220,1,2,2,105,'','','',6480,4,16-006864,4,37.6259515,127.0781481
5428,1,16-0000006866,1,2,220,590,220,1,2,2,105,'','','',6482,2000-0000-000,16-006866,'',37.5063872,126.8558902
6478,1,16-0000006870,1,1,220,590,220,1,2,2,105,'','','',9272,5,16-006870,5,37.4775564,126.9514298
5461,1,16-0000008392,1,2,220,590,220,1,2,2,105,'','','',10947,2000-0000-000,16-008392,'',37.6444607,126.9303292
5793,1,16-0000011161,1,2,220,590,220,1,2,'',105,3146683,'','',16362,'',16-011161,1,37.5887278,127.0256809
