표준ID,ARS-ID,정류장명,위도,경도,비고,UTM-K_위도변환,UTM-K_경도변환
100900180,1791,엄마분식,37.60124243,126.9557163,,555741.7394,196089.4871
100900100,1792,삼청파출소,37.58164517,126.9813258,,553565.9057,198350.5252
100900099,1793,통인시장.종로구보건소,37.58033503,126.9687505,,553420.7903,197239.7121
100900191,1794,종로5가역,37.57067136,127.0000249,,552347.7754,200002.1997
100900098,1795,평창공원지킴터입구,37.61723737,126.9770474,,557516.329,197973.5836
100900145,1796,배화여중고,37.57675563,126.9678157,,553023.5458,197157.0046
100900143,1797,대학로입구.이화사거리,37.57598417,127.0025802,,552937.4389,200227.9239
100900144,1798,운현궁,37.57527161,126.9869814,,552858.4295,198849.9811
100900142,1799,상명대입구,37.60002101,126.9569583,,555606.1243,196199.1009
100900141,1800,삼청동주민센터,37.58468468,126.9822105,,553903.2415,198428.7338
100900140,1801,박노수미술관,37.58102656,126.9668945,,553497.5984,197075.7975
100900139,1802,명동의류,37.616305,126.9783685,,557412.8183,198090.1957
100900138,1803,사직동주민센터,37.57622069,126.9689039,,552964.1413,197253.1109
100900137,1804,충신시장,37.57497665,127.0054049,,552825.6264,200477.4524
100900189,1805,안국역2번출구앞,37.57717282,126.9861183,,553069.4528,198773.7689
100900135,1807,금융연수원,37.58587767,126.9818479,,554035.656,198396.7325
100900134,1809,감람산기도원,37.61594393,126.979873,,557372.7139,198223.0166
100900133,1810,카센터.터널앞,37.57416446,126.9658593,,552736.0169,196984.0818
100900131,1812,재동초등학교,37.57879109,126.9853617,,553249.0723,198706.9631
100900129,1814,교육과정평가원,37.58741852,126.9817445,,554206.6746,198387.6331
100900128,1815,이화사거리,37.57532007,127.0022813,,552863.7307,200201.5222
100900127,1816,연화정사,37.614649,126.9794938,,557228.9978,198189.5062
100900126,1817,대신중고,37.57261781,126.9616893,,552564.4986,196615.6427
100900125,1819,현대사거리,37.57924178,126.9866354,,553299.077,198819.4793
100900215,1820,교남동주민센터,37.5721523,126.96128,,552512.8472,196579.4639
100900181,1821,부암동주민센터.무계원,37.59293534,126.9637682,,554819.4401,196800.1619
100900124,1823,형제봉매표소,37.61286432,126.9816862,,557030.8776,198383.0347
100900123,1824,교남동새마을금고,37.57149436,126.9623375,,552439.7856,196672.8545
100900122,1825,창신초교,37.57603721,127.0157201,,552943.4387,201388.6461
100900168,1826,가회동주민센터,37.57994265,126.9851294,,553376.8855,198686.4637
100900167,1827,볼링장,37.57925544,126.9879589,,553300.5772,198936.3868
100900166,1829,부암슈퍼,37.59476007,126.9638602,,555021.9615,196808.3648
100900165,1830,지구촌교회,37.61304685,126.9793482,,557051.1793,198176.612
100900164,1831,월암공원,37.57118847,126.9639861,,552405.7782,196818.4806
100900163,1832,숭인1동주민센터,37.577415,127.0155607,,553096.3552,201374.54
100900162,1833,북촌한옥마을입구.정세권활동터,37.58128077,126.9851687,,553525.4009,198689.9586
100900161,1835,하림각,37.59768473,126.9629664,,555346.597,196729.5582
100900160,1836,보현빌라,37.61526153,126.9782816,,557297.0061,198082.4967
100900159,1837,스위스대사관,37.56998879,126.9658058,,552272.5677,196979.187
100900157,1839,안국선원.삼거리,37.58274325,126.9852205,,553687.7188,198694.5596
100900156,1840,세검정교회,37.59956325,126.9594705,,555555.2193,196420.9248
100900200,1841,혜화동로터리,37.58591961,127.0010032,,554040.1564,200088.6067
100900155,1842,북악휴게실,37.61326379,126.9781123,,557075.2821,198067.4976
100900154,1843,서울시교육청,37.56924297,126.966825,,552189.758,197069.1968
100900210,1844,창신쌍용1단지.종로센트레빌아파트,37.58032282,127.0155693,,553419.09,201375.2462
100900153,1845,사우디대사관,37.58386331,126.9852486,,553812.0323,198697.0611
100900152,1846,상명대입구,37.59985447,126.9574023,,555587.6223,196238.301
100900151,1847,혜화초등학교,37.58738929,126.9999909,,554203.2738,199999.1963
100900150,1848,북악파크,37.61100832,126.9778558,,556824.9547,198044.7917
100900149,1849,강북삼성병원,37.56853152,126.9683377,,552110.7493,197202.8078
100900148,1850,청룡사.보문파크뷰자이아파트,37.57978465,127.0171509,,553359.3836,201514.9609
100900147,1851,감사원,37.58626565,126.9855618,,554078.6605,198724.7659
100900201,1852,국민생활관,37.5896276,126.9993138,,554451.7011,199939.3951
100900146,1853,귀빈예식장,37.60899526,126.9733337,,556601.6307,197645.4523
100900173,1855,종로센트레빌후문.e편한세상보문아파트,37.58189784,127.0162354,,553593.9092,201434.053
100900172,1856,통일부,37.58753085,126.9861073,,554219.0761,198772.9673
