순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호.1,공사형태,위도,경도,UTM-K_위도변환,UTM-K_경도변환
4034,1,16-0000001535,1,1,220,590,220,1,2,2,105,'','','',3794,2000-0000-000,16-001535,'',37.5642232,126.8057348,551649.8438,182836.7281
4564,1,16-0000005950,1,2,220,590,220,1,2,2,105,'','','',3292,2004-1108-408,16-005950,1,37.5670414,126.9085966,551948.8192,191924.8445
4371,1,16-0000004050,1,2,380,590,220,1,2,2,105,'','','',4555,2000-0000-000,16-004050,'',37.5470621,126.823593,549742.0524,184410.9216
5050,1,16-0000002953,1,1,220,590,220,1,2,2,105,'','','',5127,2000-0000-000,16-002953,'',37.5373334,127.1375297,548656.5483,212155.0706
3769,1,16-0000002957,1,1,220,590,220,1,2,2,105,'','','',795,2000-0000-000,16-002957,'',37.4885848,126.9766989,543237.4405,197939.2763
3771,1,16-0000004054,1,2,380,590,220,1,2,2,105,'','','',804,2000-0000-000,16-004054,'',37.6063356,126.9090173,556309.9956,191966.236
3104,1,16-0000002954,1,1,220,590,220,1,2,2,105,'','','',774,2000-0000-000,16-002954,'',37.5575628,126.9315962,550895.0785,193956.0095
3105,1,16-0000004871,1,2,380,590,220,1,2,2,105,'','','',393,2000-0000-000,16-004871,'',37.6119828,126.914826,556936.2922,192479.7124
3119,1,16-0000004059,1,2,380,590,220,1,2,2,105,'','','',806,2000-0000-000,16-004059,'',37.6220267,127.0677494,558049.8042,205981.0086
3818,1,16-0000004874,1,2,380,590,220,1,2,2,105,'','','',1607,2000-0000-000,16-004874,'',37.5036811,127.0670781,544914.7917,205931.12
3819,1,16-0000002950,1,1,220,590,220,1,2,2,105,'','','',2158,2000-0000-000,16-002950,'',37.633903,126.9152793,559369.1655,192521.9318
2818,1,16-0000000618,1,1,220,590,220,1,2,1,105,'','','',604,2000-0000-000,16-000618,'',37.4992717,127.1045514,544428.4265,209245.0951
3190,1,16-0000004689,1,2,220,590,220,1,2,2,105,'','','',1840,2000-0000-000,16-004689,'',37.5481505,126.9145093,549851.6615,192445.303
3200,1,16-0000004060,1,2,220,590,220,1,2,2,105,3152822,'','',2642,2000-0000-000,16-004060,'',37.5148518,127.0106926,546152.5366,200945.3106
3504,1,16-0000004629,1,2,380,590,220,1,2,2,105,'','','',383,2000-0000-000,16-004629,'',37.4910752,126.9739546,543513.9058,197696.6498
2907,1,16-0000002958,1,1,220,590,220,1,2,2,105,'','','',1484,2000-0000-000,16-002958,'',37.529508,127.032392,547779.6302,202863.1495
2908,1,16-0000002984,1,1,220,590,220,1,2,2,105,'','','',1485,2000-0000-000,16-002984,'',37.528602,127.0299565,547679.0041,202647.9061
2660,1,16-0000004632,1,2,380,590,220,1,2,2,105,'','','',1089,2000-0000-000,16-004632,'',37.6290175,127.0593094,558825.2047,205235.4236
2666,1,16-0000004877,1,2,380,590,220,1,2,2,105,'','','',904,2000-0000-000,16-004877,'',37.509739,127.0028434,545585.0309,200251.3962
3667,1,16-0000009604,1,2,220,590,220,1,2,2,105,'','','',10791,2000-0000-000,16-009604,'',37.6023889,126.9152232,555871.4423,192513.821
3677,1,16-0000002931,1,1,220,590,220,1,2,2,105,'','','',1722,2000-0000-000,16-002931,'',37.4815035,127.078978,542454.1846,206985.3876
3375,1,16-0000004055,1,2,380,590,220,1,2,2,105,'','','',805,2000-0000-000,16-004055,'',37.6150271,127.0734027,557273.2989,206480.6971
3706,1,16-0000004875,1,2,380,590,220,1,2,2,105,'','','',453,2000-0000-000,16-004875,'',37.5745252,126.9012013,552780.0955,191272.37
2689,1,16-0000002724,1,1,220,590,220,1,2,2,105,'','','',1685,2000-0000-000,16-002724,'',37.5165761,127.0321687,546344.3445,202843.9027
2747,1,16-0000004868,1,2,380,590,220,1,2,2,105,'','','',189,2000-0000-000,16-004868,'',37.6576054,127.0297302,561996.9297,202623.3708
3419,1,16-0000004051,1,2,380,590,220,1,2,2,105,'','','',654,2000-0000-000,16-004051,'',37.5751076,126.9385361,552841.9225,194570.4755
7064,1,16-0000002963,1,1,220,590,220,3,2,2,105,'','','',7192,5,16-002963,5,37.5089311,126.9138113,545498.8504,192379.633
7742,1,16-0000004631,1,2,380,590,220,1,2,2,105,'','','',6425,2000-0000-000,16-004631,'',37.4946757,126.8263063,543927.3671,184639.9608
7396,1,16-0000006871,1,1,220,590,220,1,2,2,105,'','','',9273,5,16-006871,5,37.5122954,126.893804,545874.0532,190611.1101
6808,1,16-0000006875,1,1,220,590,220,1,2,2,105,'','','',8113,4,16-006875,4,37.5826055,126.9496831,553673.5177,195555.6117
